longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Ultimate,asn,193264236,Inteligencia artificial generativa e integridad académica en educación superior: hacia un modelo de gobernanza institucional para la innovación educativa.,"The emergence of generative artificial intelligence (GAI) in higher education raises ethical, cultural, and governance dilemmas that necessitate a rethinking of academic integrity beyond plagiarism detection, shifting its focus toward authentic learning and educational equity. A multi-method qualitative study was conducted using grounded theory and axial coding. The corpus consisted of academic roundtables from the National Autonomous University of Mexico (UNAM) (2023–2026) available on YouTube under a Creative Commons license. The videos were transcribed using Google AI and analyzed in MAXQDA. Longitudinal matrices were developed that systematized 81 dimensions, 85 questions, 55 specialists, and 28 institutions. Triangulation included an international literature review (ERIC) and a Lakatosian interpretive framework. Axial categories emerged centered on academic integrity: authenticity of learning, assessment redesign, teacher revaluation, ethical principles, institutional governance, technological sovereignty, and human analytics of learning. A discursive evolution was observed: from concern about fraud (2023) to pedagogical redesign (2024–2025) and, finally, to governance and technological sovereignty (2026). The findings show that the responsible use of GenI requires articulating situated ethics, organizational culture, data management, and equitable access, thus shaping an institutional model centered on authentic learning.",20250101,"Jiménez León, Rodolfo ; Cisneros Chacón, Edith J.",Article,Academic Journal,ene-jun2025,true,Reencuentro: Análisis de Problemas Universitarios,Authentic learning ; Organizational governance ; Higher education ; Generative artificial intelligence ; Codes of ethics ; Education ethics ; Educational innovations ; Universidad Nacional Autónoma de México ; All Other Miscellaneous Schools and Instruction ; Educational Support Services ; Administration of Education Programs,JOUR,,,0188-168X,,,,,spa,Reencuentro: Analisis de Problemas Universitarios,298,249,50,37,89,,,78CA,,https://research.ebsco.com/plink/fe3e2fda-a669-3b03-a336-c976da94aa1b,,,,
Academic Search Ultimate,asn,191467982,Instrumento sobre Percepción de Movilidad Peatonal Proambiental.,"The objective of this funded study UNAM-DGAPA Postdoctoral Fellowship Program, was to obtain the reliability of the Sustainable Urban Pedestrian Mobility Perception Scale for the population located in the east of the State of Mexico. That is, the fluid, safe, and free transit that people and their companions undertake when walking from one point to another, without compromising the environment. The application of the scale was conducted with 230 people aged 20 to 60 years. Through Exploratory Factor Analysis, adequate internal consistency was confirmed, with 27 items distributed in a four-factor structure that evaluates pedestrian mobility. The first is pro-environmental (a=.844), followed by accessibility (a=.759), public safety (a=.712), and connectivity (a=.628), which together explain 44% of the total variance, with an internal consistency Cronbach's alpha of .890. The results indicated that this instrument presents appropriate psychometric evidence to measure pedestrian transitability.",20251201,"Lorenzo, Cecilia Maldonado ; Flores Herrera, Luz María ; Bustos Aguayo, José Marcos ; Valencia Chávez, Gabriela Carolina",Article,Academic Journal,2025,true,Revista Iberoamericana de Diagncstico y Evaluacicn Psicolcgica,Walkability ; Scale analysis (Psychology) ; Sustainability ; Sustainable transportation ; Exploratory factor analysis ; Public safety ; Accessible design ; Statistical reliability ; Mexico,JOUR,,,1135-3848,,,,,spa,Asociacion Iberoamericana de Diagnostico y Evaluacion Psicologica,106,95,12,4,78,10.21865/RIDEP78.4.07,,56UH,,https://research.ebsco.com/plink/c1fe79be-d262-3c25-8f7e-9d97cdfaec97,,,,
Academic Search Ultimate,asn,190966894,Teoloyucan geomagnetic observatory operation over a quality management system ISO 9001:2015.,"Geomagnetic observatories are essential for the study of the Earth's magnetic phenomena; they allow the precise and continuous measurement of the geomagnetic field. They are built and operated according to rigorous international standards to ensure the acquisition of high-quality geomagnetic data. Given the nature of Quality Management Systems (QMS) based on ISO 9001:2015, we consider that their implementation in a geomagnetic observatory can be a valuable tool that allows monitoring the follow-up of international standards and ensuring their proper operation, thus guaranteeing high-quality geomagnetic data. Some of the main advantages of implementing a quality management system and obtaining an ISO 9001:2015 certification include setting clear objectives, systematically analyzing risks that could affect both functionality and data quality, fostering a culture of continuous improvement, promoting context analysis through a strengths, weaknesses, opportunities, and threats analysis, and strategic planning based on this knowledge. In addition, involving the senior management of the responsible institution can help raise awareness of the operation's characteristics and needs. It also facilitates the continuous monitoring of users' requirements and satisfaction, as well as the correct documentation of all procedures carried out for its operation. This study presents the registered experience in the implementation of a QMS in the only magnetic observatory in Mexico: Teoloyucan. It outlines the operation of the observatory, including data acquisition platforms, transmission, reduction, management, and data publication. It also describes the process for implementing the quality management system in the data deployment procedures, highlighting its advantages, disadvantages, and challenges during its adoption.",20250701,"Caccavari-Garza, Ana ; Cifuentes-Nava, Gerardo ; Carrillo-Vargas, Armando ; Gonzalez-Cabrera, Adriana Elizabeth ; López-Urías, Charbeth ; Hernandez-Quintero, Juan Esteban",Article,Academic Journal,2025,true,"Geoscientific Instrumentation, Methods & Data Systems (GI)",ISO 9001 Standard ; Data quality ; Magnetometers ; Continuous improvement process ; Geomagnetism ; Total quality management ; Risk assessment ; Mexico ; Other Measuring and Controlling Device Manufacturing,JOUR,,,2193-0856,,,,,eng,Copernicus Gesellschaft mbH,489,475,15,14,2,10.5194/gi-14-475-2025,,FR2Z,,https://research.ebsco.com/plink/4f9e9538-858b-3b65-b9fe-5e6d17cf1bed,,,,
Academic Search Ultimate,asn,179394851,"Design, develop, and implement the strategic information system on health, dependence, and healthy aging: an analysis of the Mexican experience.","Background: The Decade of Healthy Aging (2021–2030) emerges as a 10 years strategy to improve the lives of older adults, their families, and the communities in which they live. One of the actions defined in this framework is related to improving the measurement, monitoring, and understanding of characteristics, factors, and needs related to aging and health. The aim was to analyze and assess the process of construction and development of the Strategic Information System on Health, Funcional Dependence and Aging (SIESDE, for its acronym in Spanish). SIESDE will provide strategic information in Mexico at the municipal, state, and national levels that support the public policies on healthy aging. Methods: The system processes and analyzes the data sources of the Health Information Systems and the National System of Statistical and Geographical Information. SIESDE comprises three components: (1) Design, construction, and evaluation of the indicators; (2) storage, management, and visualization, and (3) diffusion and translation of information. Results: A total of 135 indicators were built on seven themes: (1) demographic, socioeconomic, and aging conditions, (2) health, (3) functional dependence, (4) healthy aging, (5) health services, (6) social and physical environments, and (7) complex indicators. Conclusions: SIESDE is an effective system for providing an overall view of health, aging, and functional dependence.",20240902,"Gutierrez-Robledo, Luis Miguel ; García-Chanes, Rosa Estela ; Max-Monroy, Emely Estefanía ; Giraldo-Rodríguez, Liliana ; Álvarez-Cisneros, Teresa ; Gómez-Ugarte, Ana Cristina ; de la Rosa-Parra, José Antonio ; Estévez-Pedraza, Ángel Gabriel ; Rebollar-Castelán, Fernando ; Montaño-Serrano, Víctor ; Cuero-Muciño, Francisco Gerson ; Rivera-González, Roberto Carlos ; Yeverino-Castro, Sara Gabriela ; Rojas-Huerta, Abigail Vanessa ; Ramírez-Fernández, Luis Octavio ; González-González, Cesar ; Yeomans-Almada, Santiago ; García-Peña, Carmen",Article,Academic Journal,9/2/2024,true,Population Health Metrics,Health status indicators ; Mexicans ; Government policy ; Research funding ; Functional status ; Descriptive statistics ; Thematic analysis ; Health information systems ; Social support ; Active aging ; Mexico ; Other Individual and Family Services,JOUR,,,1478-7954,,,,,eng,BioMed Central,12,1,12,22,1,10.1186/s12963-024-00345-x,,1CZQ,,https://research.ebsco.com/plink/3eb7e683-dea9-3a4a-905d-6a967faa3d40,,,,
Academic Search Ultimate,asn,182191634,A Systematic Literature Review of 10 years of Research on Program Synthesis and Natural Language Processing.,"Program synthesis is the process of automatically generating software from a requirement specification. This paper presents a systematic literature review focused on program synthesis from specifications expressed in natural language. The research problem centers on the complexity of automatically generating accurate and robust code from high-level, ambiguous natural language descriptions – a barrier that limits the broader adoption of automatic code generation in software development. To address this issue, the study systematically examines research published between 2014 and 2024, focusing on works that explore various approaches to program synthesis from natural language inputs. The review follows a rigorous methodology, incorporating search strings tailored to capture relevant studies from five major data sources: IEEE, ACM, Springer, Elsevier, and MDPI. The selection process applied strict inclusion and exclusion criteria, resulting in a final set of 20 high-quality studies. The findings reveal significant advancements in the field, particularly in the integration of large language models (LLMs) with program synthesis techniques. The review also highlights the challenges and concludes by outlining key trends and proposing future research directions aimed at overcoming these challenges and expanding the applicability of program synthesis across various domains.",20241222,"Ramírez-Rueda, Rolando ; Benítez-Guerrero, Edgard ; Mezura-Godoy, Carmen ; Bárcenas, Everardo",Literature Review,Academic Journal,Dec2024,,Programming & Computer Software,"Language models ; Software requirements specifications ; Computer software development ; Natural languages ; Research institutes ; Custom Computer Programming Services ; Computer systems design and related services (except video game design and development) ; Research and Development in Biotechnology ; Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology) ; Research and Development in the Social Sciences and Humanities",JOUR,,,0361-7688,,,,,eng,Springer Nature,741,725,17,50,8,10.1134/S0361768824700737,,N2T,,https://research.ebsco.com/plink/057d1322-bc7c-3c50-995f-86aa0e403c5d,,,,
Academic Search Ultimate,asn,190526052,Water Access in Mexico City: A Review of Local Research Approaches.,"Water access is a fundamental part of the human right to water, water security, and a critical element of sustainable communities. This review describes and discusses the existing literature related to water access in Mexico City. In this study, water access is theorized as a multidimensional phenomenon related to the universal need for reliable, affordable, and clean water. Therefore, the analysis includes literature on the quantity, continuity, quality, health, acceptability, accessibility, and affordability of water and water services in this city. The literature on water access was divided into three domains: historical, sociospatial, and quantitative analyses. Each of these domains has contributed to the understanding of the transformation of this territory, the development of infrastructure, the socioenvironmental impacts of this transformation, and the contemporary inequalities in water supply, distribution, and consumption that characterize this city. Although these domains are characterized by a persistent interrelationship between technology and society, there is no unified approach to local urban water debates. The diversity of paradigms and theoretical frameworks in Mexican academic literature is a valuable asset for addressing the multidimensional nature of water access. Even when data gaps remain, taken together, these analyses provide a comprehensive understanding of water access in Mexico City, emphasizing the need for continued critical research in this area in the coming years. This article is categorized under: Human Water > Water GovernanceHuman Water > Rights to WaterEngineering Water > Planning Water",20251101,"Sámano Romero, Gerardo ; Chavez‐Mejia, Alma",Literature Review,Academic Journal,Nov2025,,WIRES Water,Water security ; Water supply ; Sustainable communities ; Cities & towns ; Ecological impact ; Infrastructure (Economics) ; Human rights ; Water distribution ; Mexico City (Mexico) ; Water and Sewer Line and Related Structures Construction ; Water Supply and Irrigation Systems,JOUR,,,2049-1948,,,,,eng,Wiley-Blackwell,11,1,11,12,6,10.1002/wat2.70046,,JZW0,,https://research.ebsco.com/plink/0f59a063-d716-3ac9-a626-2bc8aad44259,,,,
Academic Search Ultimate,asn,184956131,Condiciones de las revistas académicas mexicanas en el contexto del acceso abierto 1.,"The article ""Conditions of Mexican academic journals in the context of open access"" highlights the importance of open access in the humanities and the crucial role of academic journals like Fuentes Humanísticas in this model. The challenges and opportunities faced by Mexican journals in adopting open access policies are discussed, following principles such as those of the Budapest Open Access Initiative. It is emphasized how open access democratizes knowledge and strengthens its social impact, especially in humanities disciplines. Additionally, the relevance of curated information systems such as SciELO, Redalyc, BIBLAT, and DOAJ in the dissemination and quality of academic publications is mentioned.",20240701,"Zetter Patiño, Julio",Article,Academic Journal,jul-dic2024,true,Fuentes Humanísticas,Scholarly periodicals ; Open access publishing ; Social impact ; Information storage & retrieval systems ; Commercial Printing (except Screen and Books) ; Other printing ; Periodical Publishers,JOUR,,,0188-8900,,,,,spa,Universidad Autonoma Metropolitana,202,192,11,36,69,10.24275/BBAP6081,,50F8,,https://research.ebsco.com/plink/e1567d63-7b51-3904-9244-123217e7f57c,,,,
Academic Search Ultimate,asn,181249596,Impact of climate change on the distribution of insectivorous bats: Implications for small-scale farming in southern Mexico.,"Bats provide important ecosystem services for agriculture, such as pest control, a function that is particularly relevant for small-scale farmers. However, climate change is causing a decrease in bat populations. To assess the potential impacts of climate change on insectivorous bats and the implications on small-scale farming of indigenous communities in the Chiapas Highlands in southern Mexico we developed a three-step protocol: (1) projecting distribution shifts of insectivorous bats under climate change scenarios using non-dispersal and limited-full dispersal assumptions, (2) using official information to estimate the average economic value of conducting chemical pest control in crops at a state level, (3) surveying small-scale farmers to estimate the local economic value of pest control and determine how bats are perceived by small-scale farmers. Our models project shifts in bat species due to climate change. Given that new suitable climatic areas are also projected, if we assume a limited-full dispersal scenario, bats might not be as at risk by climate change, but shifting their distribution to more suitable habitats will probably affect the dynamic of the ecosystem service they provide. The official estimated value of chemical pest control is $15.15 USD/ha, while the estimated cost resulting from a hybrid survey with small-scale farmers was $47.53 USD/ha. The difference in cost could be related to an overuse of insecticides for pest control or an increase in price due to reduced accessibility. Sixty percent of surveyed farmers perceived a decline in bat populations, 68% were unaware of the benefits that bats provide to their crops, 51% believe that bats are mainly hematophagous, and 10% recognize that people harm or kill bats. A new approach including communicating small-scale farmers in their native languages the benefits that insectivorous bats provide along with a pest management strategy for the efficient use of insecticides needs to be implemented.",20241202,"Ureta, Carolina ; Ramírez-Barrón, Mercedes ; Ruán-Soto, Felipe ; Kolb, Melanie ; Martínez-Cruz, Adán L. ; Gasparello, Giovanna ; Sánchez-Cordero, Víctor",Article,Academic Journal,12/2/2024,true,PLoS ONE,"Pest control ; Agriculture ; Value (Economics) ; Price regulation ; Climate change ; Exterminating and Pest Control Services ; Regulation of Agricultural Marketing and Commodities ; Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",JOUR,,,1932-6203,,,,,eng,Public Library of Science,15,1,15,19,12,10.1371/journal.pone.0310623,,78BE,,https://research.ebsco.com/plink/9316b729-06d5-37a8-9afe-10982d7ecceb,,,,
Academic Search Ultimate,asn,189604943,Assessing User Experience with Piezoresistive Force Sensors: Interpreting Button Press Impulse and Duration.,"As robotic systems become increasingly integrated into daily life, the need for user experience (UX) assessment methods that are both privacy-conscious and suitable for embedded hardware platforms has grown. Traditional UX evaluations relying on vision, audio, or lengthy questionnaires are often intrusive, computationally demanding, or impractical for low-power devices. In this study, we introduce a novel sensor-based method for assessing UX through direct physical interaction. We designed a robot lamp with a force-sensing button interface and conducted a user study involving controlled robot errors. Participants interacted with the lamp during a reading task and rated their UX on a 7-point Likert scale. Using force and time data from button presses, we correlated force and time data to user experience and demographic information. Our results demonstrate the potential of bodily interaction metrics as a viable alternative for UX assessment in human-robot interaction, enabling real-time, embedded, and privacy-aware evaluation of user satisfaction in robotic systems.",20251101,"Gomez-Monroy, Carlos Gilberto ; Borja, Vicente ; Ramirez-Reivich, Alejandro ; Corona-Lira, Maria del Pilar",Article,Academic Journal,Nov2025,true,Sensors (14248220),User experience ; Human-robot interaction ; Embedded computer systems ; Robot control systems ; Piezoresistive devices ; Human research subjects ; Tactile sensors ; Computer and peripheral equipment manufacturing ; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ; Electronic Computer Manufacturing,JOUR,,,1424-8220,,,,,eng,MDPI,,6685,,25,21,10.3390/s25216685,,1XDI,,https://research.ebsco.com/plink/bb93d2d3-8443-3209-b9fb-2c10c87960c7,,,,
Academic Search Ultimate,asn,180280470,Exploring Jalisco's water quality: A comprehensive web tool for limnological and phytoplankton data.,"This study presents a comprehensive dataset of hydrological information gathered from five key eastern basins in Jalisco, Mexico. The dataset encompasses approximately 50 limnological variables and phytoplankton counts specifically for one of these basins. Water‐quality data were collected by the State Water Commission of Jalisco, adhering to the methods outlined in the Official Mexican Norm 'NOM‐127'. Monthly samplings were conducted to assess environmental variables such as pH, temperature, oxygen, nutrients and heavy metals. Monitoring has been ongoing for three basins since 2009, while the remaining two basins have been monitored since 2015 and 2020. Phytoplankton data were obtained from monthly samples taken by the University of Guadalajara between 2014 and 2019 in Lake Cajititlán. The original data were cleaned and organized using tidy data principles, with codes accessible on GitHub. To facilitate data exploration and visualization, we developed a user‐friendly web application with the Shiny package in R. This application enables users to explore the dataset through summary statistics tables, time series plots and phytoplankton community analysis. The dataset is accessible on Zenodo. The presented data hold significance for environmental and water‐quality assessment and applications in machine learning, neural network models, community ecology and broader environmental research. Notably, the raw data, publicly accessible from the State Water Commission of Jalisco, have been previously utilized for these purposes. This dataset offers value due to its diverse limnological and phytoplankton variables, an extended time frame of availability, a curated and streamlined accessibility process and the inclusion of a web application for intuitive exploration and visualization.",20241001,"Camarena‐Orozco, Cristofer ; Carrillo, Eduardo Juárez ; González, Martha Alicia Lara ; Guerra‐Castro, Edlin",Article,Academic Journal,Oct2024,true,Geoscience Data Journal,Artificial neural networks ; Environmental research ; Web-based user interfaces ; Water quality ; Data scrubbing ; Mexico,JOUR,,,2049-6060,,,,,eng,Wiley-Blackwell,503,495,9,11,4,10.1002/gdj3.277,,FU4R,,https://research.ebsco.com/plink/58466326-554b-3ac2-8dc3-65d2b226d831,,,,
