longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Ultimate,asn,182792556,Numerical modeling of the origin and process of groundwater hypersalinization in a coastal dry environment in northwestern Mexico.,"Concentrations double the salinity of seawater were found in a large portion of Ejido Chapala, southwest San Quintín's aquifer, in northwestern Mexico. A zone with the impacts of seawater intrusion and high evapotranspiration rates was studied using different methodologies with the purpose of understanding the natural occurrence of hypersaline groundwater. A numerical groundwater flow and transport model was developed to test some hypotheses regarding the driving forces that gave it its hypersaline characteristic. To feed the numerical model, well-drilling analysis, electrical logs, step-drawdown tests, and geophysical assessments were performed. Two field piezometric campaigns were conducted in 2013 and 2015, accompanied by Electrical Conductivity (EC) profiles to gather the information to calibrate the model. Numerical modeling indicated that seawater serves as the primary source of inflow, currently with groundwater flowing towards the northeastern border. Mass concentration simulations illustrated the encroachment of seawater over time, in addition to solute migration attributed to the presence of brine hosted in fine sediments, leading to elevated Total Dissolved Solids (TDS) concentrations. Additionally, water samples were collected to perform hydrochemical and isotopic analyses revealing that midwestern well waters predominantly fall into the calcium magnesium sulfate and sodium chloride type categories. The isotopic plots suggested influences from evaporation. The saturation indices for gypsum and calcite indicated equilibrium conditions are consistent with historical geological processes in the region. Continuous monitoring and further studies are recommended to develop effective groundwater management strategies in response to ongoing salinization challenges caused by natural behavior. • Study reveals groundwater salinization due to marine intrusion. • Highlights the importance of arid conditions on groundwater availability. • Combines hydrogeological modeling and geochemical analyses. • Salinization is primarily natural, driven by historical transgressions and evaporation processes. • Increased pumping rates since 1930 reversed hydraulic gradients.",20250215,"Monzalvo M., M. ; Escolero, Oscar ; Olea-Olea, Selene ; Morales-Casique, Eric",Article,Academic Journal,Feb2025,true,Journal of South American Earth Sciences,Groundwater management ; Hydrogeological modeling ; Electric logging ; Geochemical modeling ; Magnesium sulfate ; All other non-metallic mineral mining and quarrying,JOUR,,,0895-9811,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,153,,10.1016/j.jsames.2025.105363,,JLJ,,https://research.ebsco.com/plink/593cff18-db3c-37db-a78d-8838005fbfa1,,,,
Academic Search Ultimate,asn,188430434,Numerical analysis of nonlinear dynamics and the transition to chaos in discharges of N<sub>2</sub>-GaAs systems.,"Electrical discharges in N<sub>2</sub>-GaAs systems exhibit complex nonlinear dynamics with key implications for the design of optoelectronic devices, particularly in contexts where avalanche and chaos affect performance. This work numerically explores a system of differential equations, derived from the continuity equation and Poisson's equation, describing the time evolution of voltage and current density in an N<sub>2</sub>-GaAs system, considering simplifications such as spatial uniformity and varying carrier generation rates (α). Through numerical integration and the calculation of the highest Lyapunov exponent, we examine how the system transitions from stable states to chaotic behavior. The results show that low values of α, such as 0.5 s<sup>−1</sup>, produce damped oscillations, while increases up to 2.0 s<sup>−1</sup> trigger chaotic dynamics, characterized by positive Lyapunov exponents and intricate trajectories in phase portraits and Poincaré maps. In addition, bifurcation diagrams of the system corroborate this transition to chaos. This transition depends on a critical threshold related to the nonlinear amplification and saturation effects present in the model. The findings deepen the understanding of discharges in N<sub>2</sub>-GaAs and highlight their relevance for optoelectronic applications, such as avalanche photodetectors and nonlinear oscillators, where mastering chaotic dynamics is essential. This analysis establishes a solid framework for future research, opening paths toward experimental studies and theoretical developments in semiconductor systems with similar properties.",20250901,"González, M. C. ; Mastache-Mastache, J. E. ; Castrejón-Sánchez, V. H. ; Martínez, H.",Article,Academic Journal,Sep2025,true,AIP Advances,Electric discharges ; Optoelectronic devices ; Semiconductors ; Chaos theory ; Lyapunov exponents ; Bifurcation diagrams ; Nonlinear mechanics ; Semiconductor and other electronic component manufacturing ; Semiconductor and Related Device Manufacturing,JOUR,,,2158-3226,,,,,eng,American Institute of Physics,15,1,15,15,9,10.1063/5.0281133,,FKXF,,https://research.ebsco.com/plink/a32de3c9-b129-3d7a-a0c7-77067726fe14,,,,
Academic Search Ultimate,asn,180375600,Numerical Analysis and Design of a High‐Frequency Surface Acoustic Wave Transducer: Influence of Piezoelectric Substrates and IDTs Configurations.,"The development of SAW transducers requires a series of steps ranging from material selection and geometry design to the selection of fabrication techniques for their characterization and validation process. Here, we use the finite element method (FEM) to present a methodology and a detailed analysis of the design of SAW transducers in a delay line configuration. First, we simulate single‐finger and double‐finger configurations with different geometries and designs of IDTs on two piezoelectric substrates, LiNbO3$$ {}_3 $$ in 64°$$ {}^{{}^{\circ}} $$ YX and LiNbO3$$ {}_3 $$ 128°$$ {}^{{}^{\circ}} $$ YX orientation, to compare the simulation results with the analytical delta model and thereby validate the simulation process, presenting Root Mean Square Error (RMSE) values ranging from 10.79 dB to 16.42 dB. With the above, we performed a comparative analysis to determine the influence of piezoelectric material and IDT configuration by studying a specific transducer design made to operate at a resonance frequency of 97.02 MHz. We compared identical designs on 128°$$ {}^{{}^{\circ}} $$ YX and 64°$$ {}^{{}^{\circ}} $$ YX orientations of LiNbO3$$ {}_3 $$ with single and double‐finger configurations and added the comparison with the SPUDT configuration. We observed the best results for the single‐finger IDT configuration in 128°$$ {}^{{}^{\circ}} $$ YX LiNbO3$$ {}_3 $$ orientation compared to the other variants through its insertion loss level of −7.29 dB, its average sidelobe level of −18.63 dB, and its average transition band slope for the main lobe of 15.09 dB/MHz. The results guide new researchers or students in expanding the use of numerical tools in designing SAW transducers and SAW devices.",20240901,"Fernández‐García, Alonso ; Solís‐Tinoco, Verónica Iraís ; Arce, Miguel Ángel Alemán ; Villa‐Vargas, Luis Alfonso ; Salinas, Marco Antonio Ramírez ; García, Juan Carlos Sánchez",Article,Academic Journal,Sep2024,true,International Journal of Numerical Modelling,Acoustic surface waves ; Acoustic transducers ; Standard deviations ; Ultrasonic transducers ; Finite element method,JOUR,,,0894-3370,,,,,eng,Wiley-Blackwell,13,1,13,37,5,10.1002/jnm.3306,,O8G,,https://research.ebsco.com/plink/6d52bd3e-b704-32cd-8d73-fc398c68a1b9,,,,
Academic Search Ultimate,asn,181619980,Numerical modeling vs experiment of formic acid and formate ion behavior under gamma radiation at several pH values: Implications on prebiotic chemistry.,"Formic acid is consistently produced and detected in prebiotic chemistry experiments, constituting a precursor of many carboxylic acids and amino acids. Its behavior with exposure to gamma radiation varies with the pH and solution concentration. This work aimed to model different environmental conditions for formic acid under ionizing radiation using a system of coupled differential equations based on chemical kinetics. An ensemble of radiolysis reaction mechanisms was generated for formic acid at pH 1.5 and formate ion at pH 9, both with radiation doses from 0 to 2 kGy. This was also done for systems with both species in equilibrium, using high molar concentrations, long irradiation times, and large irradiation doses (from 0 to 70 kGy). The results show that these systems can be modeled with a high statistical relationship between the computed solutions and the experimental data; furthermore, the synthesis and degradation of the radiolysis products can be followed. Another dimension of the issue of prebiotic environments was explored using ionizing radiation and analyzing the reactions at various pH values (acidic to basic media). These models allow one to gain insights into the behavior of molecules that are difficult to detect or analyze in the laboratory. Additionally, they offer the possibility of studying potential prebiotic environments.",20241212,"Paredes-Arriaga, Alejandro ; López-Islas, Anayelly ; Frias, Diego ; Rivera, Ana Leonor ; Cordero-Tercero, Guadalupe ; Ramos-Bernal, Sergio ; Negrón-Mendoza, Alicia",Article,Academic Journal,12/12/2024,true,PLoS ONE,Gamma rays ; Ionizing radiation ; Chemical equations ; Carboxylic acids ; Chemical kinetics,JOUR,,,1932-6203,,,,,eng,Public Library of Science,18,1,18,19,12,10.1371/journal.pone.0315409,,78BE,,https://research.ebsco.com/plink/5f9c5964-b7cc-3830-ba37-0b41c41129b6,,,,
Academic Search Ultimate,asn,190534844,Dynamical and numerical modeling of NEOs orbits using a quintessence-like space-time framework.,"In this work, we investigate a novel approach for determining the orbits of Near-Earth Objects (NEOs) using a modified version of a Kiselev space-time, which incorporates a matter quintessence-like component. This method focuses on the nonnull geodesics of the space-time metric, with particular emphasis on varying two key parameters: the normalization factor <italic>c</italic> and the range factor <italic>w</italic>, within the limits suggested by previous studies in the specialized literature. Our primary objective is to develop a model that can accurately calculate the orbit of a NEO-based solely on two orbital parameters: its eccentricity and semimajor axis. To achieve this, we have implemented a numerical code that takes these two parameters as input values, adjusting the parameters <italic>c</italic> and <italic>w</italic> to generate a corresponding orbit. The model was applied to five well-known and potentially hazardous NEOs — (99942) Apophis, (101955) Bennu, (2024) YR4, (2000) SG344 and (2024) BY15 — whose orbital parameters were compared with observational data and results from other numerical models. A fitting procedure based on the L-BFGS-B optimization algorithm was implemented to determine the optimal values of <italic>c</italic> and <italic>w</italic>, minimizing the root-mean-square (RMS) radial error with respect to the Keplerian orbit. The fitted values clustered around w≈−0.6 and σ∼10−6, consistent with quintessence-like scenarios and cosmological bounds. The results show that the quintessence-modified relativistic framework is capable of reproducing the orbits of diverse NEOs with kilometer-scale accuracy. Radial error curves and Euclidean error distributions confirm the robustness of the method across different eccentricities, including highly eccentric cases such as (2024) BY15. This approach therefore offers a straightforward yet effective method for calculating NEO orbits, requiring only basic input parameters while still providing reliable results. The findings suggest that matter quintessence-like models could be a useful tool for studying the orbital dynamics of NEOs in a relativistic framework and may serve as a testbed for probing exotic matter effects at solar system scales.",20251231,"Gutiérrez-Zalapa, Raul ; Aguilar-Rodríguez, Ernesto ; Rodríguez-Martínez, Mario ; Uriostegui-Legorreta, Ulises ; Xing, Jilu ; Ahuatzin-Flores, Giovanna",Article,Academic Journal,Dec2025,true,International Journal of Modern Physics C: Computational Physics & Physical Computation,Spacetime ; Orbital mechanics ; Dynamic models ; Computer simulation ; Optimization algorithms,JOUR,,,0129-1831,,,,,eng,World Scientific Publishing Company,,1,,,,10.1142/s0129183127500240,,8K1,,https://research.ebsco.com/plink/2787342d-ecc9-36d5-bdf9-2f577d656b51,,,,
Academic Search Ultimate,asn,189932870,Textile dewatering by centrifugation in a vertical axis washing machine: Experiments and model.,"This study investigates textile dewatering during the spinning stage in a domestic vertical-axis washing machine, using a combination of experimental testing and mathematical modeling. Tests were conducted on DOE garments at five spin speeds: 140, 230, 450, 620, and 800 RPM. During these tests, the remaining moisture content (RMC) was recorded over time, and the final inner radius of the donut-shaped textile load (referred to as the textile donut) was measured. A one-dimensional mathematical model was developed to simulate the dewatering process, particularly for application in commercial washing machines. This model incorporates a local water mass balance to estimate the radial moisture profile over time and a global water balance to track the dynamics of the wet textile donut's inner radius within the drum, which is not limited to small modifications. The model introduces new formulations for permeability, final remaining water content (referred to as irreducible water), and a dependence of textile donut height on the inner radius. This last feature allows considering large donut deformations. The model incorporates five free parameters. Four of these parameters were individually optimized for each spin speed, using experimental data that tracks the remaining water mass over time and the final inner radius of the textile donut. The fifth parameter was fixed to a value obtained by fitting the irreducible water across all spin speed scenarios simultaneously. The resulting model effectively captures the dewatering process in a vertical-axis washing machine, including the dynamic changes in the inner radius of the textile donut.",20251201,"Coronado, Manuel ; Plata, Santiago ; A. Díaz-Viera, Martín ; Vicente, William ; E. Luna-Rojero, Erick",Article,Academic Journal,2025,true,Drying Technology,"Centrifugation ; Mathematical models ; Washing machines ; Textile product manufacturing ; Moisture ; Water balance (Hydrology) ; Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers ; Household appliance merchant wholesalers ; Other Commercial and Service Industry Machinery Manufacturing ; Other major appliance manufacturing ; Household Laundry Equipment Manufacturing ; Appliance, television and other electronics stores ; Broadwoven Fabric Mills ; Narrow Fabric Mills and Schiffli Machine Embroidery ; Knit Fabric Mills ; All Other Miscellaneous Textile Product Mills",JOUR,,,0737-3937,,,,,eng,Taylor & Francis Ltd,2205,2189,17,43,15/16,10.1080/07373937.2025.2576494,,KUC,,https://research.ebsco.com/plink/49c0629e-d819-387e-ab52-e43eb0973f0d,,,,
Academic Search Ultimate,asn,183601659,"The Impact of Geomagnetically Induced Currents (GIC) on the Mexican Power Grid: Numerical Modeling and Observations From the 10 May 2024, Geomagnetic Storm.","This study examines the impact of the 10 May 2024, geomagnetic storm on the Mexican power grid, utilizing geomagnetically induced currents (GIC), measurements and regional magnetic field data recorded by the Laboratorio Nacional de Clima Espacial. Significant GIC were observed at three different locations within the grid. The observations were complemented with estimates for the Mexican power grid provided by a numerical model developed in late 2022. Our findings suggest that the GIC can pose a potential threat to low‐latitude power grids during extreme geomagnetic disturbances. Furthermore, the model demonstrates its potential to forecast the grid response during these events, providing critical insight into the behavior of the electrical grid during extreme space weather events. Plain Language Summary: The geomagnetic storm occurred on 10 May 2024, was the most intense space weather event since the Halloween storm of October 2003. In this case, we present observations and estimates of GIC in the Mexican power grid during the event. Significant GIC intensities were measured at some substations of the Mexican power grid during the most active times. Our findings suggest that space weather effects like GIC can pose a potential threat to the integrity of power grids during extreme geomagnetic disturbances, including those across the Americas. Key Points: Significant geomagnetically induced currents (GIC) intensities were observed and estimated in the Mexican power grid during the geomagnetic storm on 10 May 2024The observations suggest that space weather can pose a potential threat to low latitude power grids during extreme geomagnetic stormsThese GIC observations are unique in Latin America, recorded during the most significant geomagnetic storm in the last 20 years",20250228,"Caraballo, R. ; González‐Esparza, J. A. ; Pacheco, C. R. ; Corona‐Romero, P. ; Arzate‐Flores, J. A. ; Castellanos‐Velazco, C. I.",Article,Academic Journal,2/28/2025,true,Geophysical Research Letters,Electric power distribution grids ; Magnetic field measurements ; Extreme weather ; Space environment ; Electromagnetic induction,JOUR,,,0094-8276,,,,,eng,Wiley-Blackwell,7,1,7,52,4,10.1029/2024GL112749,,0SJ,,https://research.ebsco.com/plink/842cf801-22bd-3dab-9196-a300493d8fe3,,,,
Academic Search Ultimate,asn,177097391,An Accurate Explicit Six-Parameter Solar Cell Model Based on Single-Diode and Its Parameter Extraction for Seven Photovoltaic Technologies.,"The mathematical modeling of solar cells and panels is critical in many photovoltaic applications. However, the standard single-diode solar cell model, commonly selected to model these devices, is implicit and difficult to integrate into simulation software. Therefore, exact explicit solutions of this model, more suitable for computing purposes, have been proposed based on the Lambert W-function. This work introduces an explicit single-diode, easy-to-use six-parameter solar cell model. The proposed model is formulated with elementary functions. The model is developed and tested over seven photovoltaic technologies as an alternative to traditional approaches. Results of the extensive comparison of the three models (implicit, explicit Lambert W, and explicit six-parameter) show that the proposed approach is more accurate (14.81% relative improvement on average compared to the traditional methods), almost as fast as the Lambert W approach and much faster than the implicit approach. Due to its simplicity and accuracy, the proposed model will become an alternative in photovoltaic applications such as energy prediction and maximum power point tracking.",20240401,"Dávalos-Orozco, Óscar ; Rodrigo, Pedro M. ; Brambila-Paz, Fernando ; Rosas-Caro, Julio C.",Article,Academic Journal,Apr2024,true,Journal of Solar Energy Engineering,"Solar cells ; Maximum power point trackers ; Solar panels ; Simulation software ; Clean energy ; Integrated software ; Power and Communication Line and Related Structures Construction ; Semiconductor and other electronic component manufacturing ; Semiconductor and Related Device Manufacturing ; Electronic components, navigational and communications equipment and supplies merchant wholesalers ; Other Electronic Parts and Equipment Merchant Wholesalers ; Plumbing, heating and air-conditioning equipment and supplies merchant wholesalers",JOUR,,,0199-6231,,,,,eng,American Society of Mechanical Engineers,12,1,12,146,2,10.1115/1.4063621,,JSD,,https://research.ebsco.com/plink/9f24952a-9f8d-37f2-aa3e-794c557ea310,,,,
Academic Search Ultimate,asn,188679299,Numerical modelling of back-pass triangular solar air heaters and its experimental validation. Comparison against different geometries.,"[Display omitted] • A model to evaluate triangular ducts solar air heaters (SAHs) was developed. • The model was carefully validated with 24 experimental efficiency data points. • The thermal efficiency error between experimental and numerical results was ± 1.63 %. • SAHs with triangular ducts are on average 3.73 % more efficient than rectangular ducts. • SAHs with 60° opening angle is on average 9.35 % more efficient than 90° opening angle. A numerical model was developed to predict the instantaneous thermal efficiency, the incident angle modifier curves, and airflow humidity and temperature in the Solar Air Heaters (SAHs) with triangular ducts. The model applies the control volume method with discretization along both axial and longitudinal directions, incorporating empirical correlations to solve the resulting system of algebraic equations. Validation was performed using 24 instantaneous thermal efficiency data points specifically collected for this purpose, yielding an average error of ± 1.63 % between experimental and simulated results. Additionally, a weighted least-squares regression was conducted to compare experimental and numerical thermal efficiency values. These analyses demonstrate that the proposed model is a reliable tool for the design and optimization of back-pass SAHs with triangular duct geometries. Additionally, an experimental comparison between SAHs with triangular and rectangular ducts constructed from the same materials revealed that triangular configurations are, on average, 3.73 % more efficient than rectangular ones. The comparison of instantaneous thermal efficiency curves of triangular SAHs with two distinct opening angles (60° and 90°) indicated that a 60° angle yields, on average, 9.35 % higher efficiency, and with an incident angle of 50°, the 60° configuration is approximately 3 % more efficient than the 90° angle.",20251115,"Hernández-Jerónimo, J.P. ; Pérez-Espinosa, R. ; García-Valladares, O.",Article,Academic Journal,Nov2025,true,Solar Energy,"Solar air heaters ; Model validation ; Finite volume method ; Air ducts ; Energy conversion ; Computer simulation ; Dimensional analysis ; Plumbing, Heating, and Air-Conditioning Contractors ; Other Building Equipment Contractors",JOUR,,,0038-092X,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,301,,10.1016/j.solener.2025.113941,,SER,,https://research.ebsco.com/plink/b5f0f287-2c16-348c-8306-8481d2f14537,,,,
Academic Search Ultimate,asn,182875210,Indirect oxidation of an anionic surfactant presents in produced water in a tubular photoelectrochemical reactor with concentric expanded meshes: Experimental study and mathematical modeling.,"• Photoelectrochemical oxidation of an anionic surfactant present in produced water. • Indirect reaction mechanism in the presence of C l − and O H • to form active chlorine. • Tubular photoelectrochemical reactor (T-PECR) with expanded meshes as electrodes. • Transient modeling of the T-PECR in batch mode with recirculation (CST). • Prediction of vacancy holes (h s +) and hydroxyl radicals (O H a d •) on the catalyst surface. Reactive chlorine species, including chlorine (HOCl/OCl<sup>–</sup>), chlorine dioxide (ClO 2), chlorine atom (Cl<sup>•</sup>), and dichlorine radical (Cl2<sup>•–</sup>), are potent oxidants with extensive water disinfection applications. This work investigated an indirect photoelectrochemical (PEC) oxidation in the presence of chloride ion (C Cl <sup>-</sup>) of anionic surfactants (Shell Chemicals ENORDET™ 0242) present in oilfield-produced water. Expanded meshes of S, N-TiO 2 -coated titanium (outer electrode), and nickel-plated stainless steel (inner electrode) were used as photoanode and cathode, respectively in a Tubular photoelectrochemical reactor (T-PECR). The reactor was operated at different volumetric flow rates (1.0, 2.0, and 3.0 L min<sup>-1</sup>) under potentiostatic conditions (0.5 V vs. Ag/AgCl) in the presence of 50 ppm ENORDET™ 0242. A transient parametric model was developed, combining the plug dispersion exchange model (PDEM) coupled with a continuous stirred tank (CST) reactor approach. The kinetic model integrates the Gärtner-Butler framework to account for light absorption and its effect on the generation of vacancy voids (h s <sup>⁺</sup>), which drives the formation of radical productions (OH• and Cl•), and chlorine-based oxidants (Cox) for indirect surfactant degradation (C MBAS). At higher flow rates, the reduction in residence time shifts the degradation predominantly to the recirculation tank, emphasizing the indirect degradation mechanism. This trend is consistent with the observed increase in Cox concentration. Experimental results confirm that the model accurately predicts the behavior of the C Cl - and C MBAS , h s <sup>+</sup>, OH<sup>•</sup>, and C ox , as functions of volumetric flow rate. The T-PECR achieved 90 % degradation of ENORDET™ 0242 in 120 min at a flow rate of 1.0 L min-¹, demonstrating the effectiveness of this approach in treating produced water. This study highlights the potential of PEC systems for efficient surfactant removal and provides insight into the interplay between reaction mechanisms and operating conditions. [Display omitted]",20250320,"Jaramillo-Gutiérrez, María I. ; Aparicio-Mauricio, Gustavo ; Pedraza-Avella, Julio A. ; Rivero, Eligio P. ; Cruz-Díaz, Martín R.",Article,Academic Journal,Mar2025,true,Electrochimica Acta,Anionic surfactants ; Tubular reactors ; Oil field brines ; Hydroxyl group ; Chlorine dioxide ; Chloride ions ; Water disinfection ; Other Basic Inorganic Chemical Manufacturing ; All other basic inorganic chemical manufacturing,JOUR,,,0013-4686,,,,,eng,Elsevier B.V.,N.PAG,N.PAG,,517,,10.1016/j.electacta.2025.145721,,JDO,,https://research.ebsco.com/plink/38386bcf-1605-3dd1-92d4-3507ed80e761,,,,
